English,Russian
part,часть
history,история
search,поиск
only,Только
police,полиция
thought,мысль
help,помощь
request,запрос
kind,Добрый
month,месяц
brother,брат
let,позволять
because,потому что
to put,положить
no,нет
leash,поводка
them,их
city,город
each,каждый
speak,говорить
come,прийти
should,должен
baby,малыш
long time,много времени
hours,часы
will,будут
while,пока
meet again,Встретимся снова
any,Любые
square,площадь
speak,говорить
understood,понял
knew,знал
were,мы
Warning,Предупреждение
here is,Вот
could,мог
case,кейс
give,дайте
type,тип
their,их
given,данный
train,тренироваться
body,тело
place,место
eyes,глаза
way,путь
listen,Слушать
whose,чья
find,найти
first,первый
lost,потерял
hand,рука
first,первый
side,сторона
power,сила
old,старый
be,быть
here,здесь
morning,утро
so much,так много
child,ребенок
point,точка
came,пришел
after,после
sorry,Извините
come,прийти
in front of,перед
towards,в направлении
minutes,минуты
request,запрос
bedroom,Спальня
placed,размещенный
beautiful,красивая
law,закон
would like to,хотел бы
today,Cегодня
husband,муж
cause,причина
finally,в конце концов
hope,надеяться
water,вода
Wait,Ждать
left,оставил
new,новый
job,работа
Stop,Останавливаться
would say,сказал бы
Earth,Земля
account,учетная запись
given,данный
far,далеко
end,конец
believe,полагать
sweetheart,дорогой
large,большой
rather,скорее
will have,буду иметь
girls,девушки
to play,играть
office,офис
